Test Case, Status, error
test_01_VRServiceFailureAlerting, FAILED, Check DB Query result set   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=VirtualRouter_aler
test_01_create_account, PASSED, None
test_01_add_vm_to_subdomain, PASSED, None
test_DeleteDomain, PASSED, None
test_forceDeleteDomain, PASSED, None
test_01_non_root_admin_Privileges, PASSED, None
test_01_user_remove_VM_running, PASSED, None
test_01_service_offering_hierarchy, PASSED, None
test_01_service_offering_siblings, PASSED, None
test_01_template_hierarchy, PASSED, None
test_updateAdminDetails, PASSED, None
test_updateDomainAdminDetails, PASSED, None
test_updateUserDetails, PASSED, None
test_LoginApiDomain, PASSED, None
test_LoginApiUuidResponse, PASSED, None
ContextSuite context=TestAddNetworkToVirtualMachine>:setup, SKIPPED, None
ContextSuite context=TestFailureScenariosAddNetworkToVM>:setup, SKIPPED, None
ContextSuite context=TestFailureScenariosRemoveNicFromVM>:setup, SKIPPED, None
ContextSuite context=TestFailureScenariosUpdateVirtualMachineNIC>:setup, SKIPPED, None
ContextSuite context=TestRemoveNetworkFromVirtualMachine>:setup, SKIPPED, None
ContextSuite context=TestUpdateVirtualMachineNIC>:setup, SKIPPED, None
runTest, FAILED, sequence item 0: expected string, NoneType found   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=advancedsg_network
test_01_deploy_vm_another_user, PASSED, None
test_02_create_aff_grp_user, PASSED, None
test_03_list_aff_grp_all_users, PASSED, None
test_04_list_all_admin_aff_grp, PASSED, None
test_05_list_all_users_aff_grp, PASSED, None
test_06_list_all_users_aff_grp_by_id, PASSED, None
test_07_delete_aff_grp_of_other_user, PASSED, None
test_01_admin_create_aff_grp, PASSED, None
test_02_doadmin_create_aff_grp, PASSED, None
test_03_user_create_aff_grp, PASSED, None
test_04_user_create_aff_grp_existing_name, PASSED, None
test_05_create_aff_grp_same_name_diff_acc, PASSED, None
test_06_create_aff_grp_nonexisting_type, PASSED, None
test_01_delete_aff_grp_by_name, PASSED, None
test_02_delete_aff_grp_for_acc, PASSED, None
test_03_delete_aff_grp_with_vms, FIXED, None
test_05_delete_aff_grp_id, PASSED, None
test_06_delete_aff_grp_name, PASSED, None
test_08_delete_aff_grp_by_id, PASSED, None
test_09_delete_aff_grp_root_admin, PASSED, None
test_01_deploy_vm_without_aff_grp, FIXED, None
test_02_deploy_vm_by_aff_grp_name, FIXED, None
